Epoch,Loss,Accuracy,Sensitivity,Specificity,Precision,F1,Validation Loss,Validation Accuracy,Validation Sensitivity,Validation Specificity,Validation Precision,Validation F1
1,0.04621849896855095,0.9853061224489796,0.9741019214703425,0.9907183212267958,0.9806560134566863,0.9773679798826488,0.9711512982372253,0.7777777777777778,0.9629629629629629,0.6388888888888888,0.6666666666666666,0.7878787878787878
2,0.01465034197496415,0.9959183673469387,0.9933166248955723,0.9971751412429378,0.9941471571906354,0.9937317175094025,1.3505835403643904,0.7619047619047619,0.9629629629629629,0.6111111111111112,0.65,0.7761194029850746
3,0.01214318747841278,0.9956462585034014,0.9941520467836257,0.9963680387409201,0.9924937447873228,0.993322203672788,0.710846664927279,0.8412698412698413,0.9259259259259259,0.7777777777777778,0.7575757575757576,0.8333333333333334
4,0.010166900256224179,0.9970068027210884,0.9949874686716792,0.9979822437449556,0.995819397993311,0.9954032595068951,0.7502937622604862,0.8095238095238095,0.9259259259259259,0.7222222222222222,0.7142857142857143,0.8064516129032258
5,0.004048090360307952,0.9994557823129252,1.0,0.9991928974979822,0.9983319432860718,0.9991652754590985,1.5350341142583934,0.7301587301587301,0.9629629629629629,0.5555555555555556,0.6190476190476191,0.7536231884057971
6,0.0093864458514699,0.9972789115646259,0.9958228905597326,0.9979822437449556,0.9958228905597326,0.9958228905597326,1.476532246385302,0.6984126984126984,0.8888888888888888,0.5555555555555556,0.6,0.7164179104477612
7,0.006763828594544839,0.998639455782313,0.9974937343358395,0.9991928974979822,0.9983277591973244,0.9979105725031342,1.593084641444009,0.7619047619047619,1.0,0.5833333333333334,0.6428571428571429,0.782608695652174
8,0.010368495120518037,0.9956462585034014,0.9933166248955723,0.9967715899919289,0.9933166248955723,0.9933166248955723,1.2196870145225336,0.7619047619047619,0.9629629629629629,0.6111111111111112,0.65,0.7761194029850746
9,0.008363887658885199,0.9978231292517007,0.9966583124477861,0.9983857949959645,0.9966583124477861,0.9966583124477861,1.082849340424651,0.8095238095238095,0.9629629629629629,0.6944444444444444,0.7027027027027027,0.8125
10,0.010963680753405175,0.9975510204081632,0.9974937343358395,0.9975786924939467,0.995,0.9962453066332916,0.9345792713501151,0.7777777777777778,0.8888888888888888,0.6944444444444444,0.6857142857142857,0.7741935483870968
11,0.0012320215381702905,0.9997278911564625,0.9991645781119465,1.0,1.0,0.9995821145006268,1.3542669834495182,0.7777777777777778,0.9629629629629629,0.6388888888888888,0.6666666666666666,0.7878787878787878
12,0.0076982551372964825,0.9978231292517007,0.9966583124477861,0.9983857949959645,0.9966583124477861,0.9966583124477861,2.201590411246769,0.6666666666666666,0.9629629629629629,0.4444444444444444,0.5652173913043478,0.7123287671232876
13,0.009989723023189529,0.9975510204081632,0.9966583124477861,0.9979822437449556,0.9958263772954925,0.9962421711899792,0.9616086712136628,0.7936507936507936,0.9259259259259259,0.6944444444444444,0.6944444444444444,0.7936507936507936
14,0.00112974452633303,1.0,1.0,1.0,1.0,1.0,1.692846514203305,0.746031746031746,0.9259259259259259,0.6111111111111112,0.6410256410256411,0.7575757575757576
15,0.004736801953297298,0.998639455782313,0.9983291562238931,0.9987893462469734,0.9974958263772955,0.9979123173277662,2.105283025711302,0.6825396825396826,0.9629629629629629,0.4722222222222222,0.5777777777777777,0.7222222222222222
16,0.0029078445105843536,0.9991836734693877,0.9991645781119465,0.9991928974979822,0.998330550918197,0.9987473903966597,1.7338367178740481,0.746031746031746,0.9629629629629629,0.5833333333333334,0.6341463414634146,0.7647058823529411
17,0.011177520627452087,0.9964625850340136,0.9941520467836257,0.9975786924939467,0.9949832775919732,0.9945674885081488,1.6112810110762006,0.6984126984126984,0.9629629629629629,0.5,0.5909090909090909,0.7323943661971831
18,0.0030669451420247667,0.9994557823129252,0.9983291562238931,1.0,1.0,0.9991638795986622,2.490206720337035,0.6349206349206349,0.9629629629629629,0.3888888888888889,0.5416666666666666,0.6933333333333334
19,0.0072915640211391715,0.9975510204081632,0.9958228905597326,0.9983857949959645,0.9966555183946488,0.9962390305056414,0.7896889595847044,0.8412698412698413,0.9259259259259259,0.7777777777777778,0.7575757575757576,0.8333333333333334
20,0.0003654613550221801,1.0,1.0,1.0,1.0,1.0,1.837095428199049,0.7619047619047619,0.9629629629629629,0.6111111111111112,0.65,0.7761194029850746
21,0.00020043265339791724,1.0,1.0,1.0,1.0,1.0,1.8595854448272833,0.746031746031746,0.9629629629629629,0.5833333333333334,0.6341463414634146,0.7647058823529411
22,0.005548173072522183,0.9991836734693877,0.9983291562238931,0.9995964487489911,0.9991638795986622,0.9987463435018805,2.4376908729946805,0.5714285714285714,1.0,0.25,0.5,0.6666666666666666
23,0.00745898078929682,0.996734693877551,0.9933166248955723,0.9983857949959645,0.9966471081307627,0.994979079497908,1.3970114697539617,0.6984126984126984,0.9629629629629629,0.5,0.5909090909090909,0.7323943661971831
24,0.0065363657762942725,0.9989115646258503,0.9983291562238931,0.9991928974979822,0.9983291562238931,0.9983291562238931,1.6031501924707776,0.7619047619047619,0.9629629629629629,0.6111111111111112,0.65,0.7761194029850746
25,0.0020946822901411603,0.9991836734693877,0.9974937343358395,1.0,1.0,0.998745294855709,1.5967150355378787,0.7936507936507936,0.9629629629629629,0.6666666666666666,0.6842105263157895,0.8
26,0.0072843847500768544,0.9978231292517007,0.9966583124477861,0.9983857949959645,0.9966583124477861,0.9966583124477861,0.920227363291714,0.8095238095238095,0.9629629629629629,0.6944444444444444,0.7027027027027027,0.8125
27,0.0036495821404612947,0.9994557823129252,0.9983291562238931,1.0,1.0,0.9991638795986622,2.3947205349566443,0.6825396825396826,0.9629629629629629,0.4722222222222222,0.5777777777777777,0.7222222222222222
28,0.3609049622673665,0.8544011544011544,0.7911255411255411,0.8965848965848966,0.8360655737704918,0.8129749768303985,0.29018739977526287,0.873015873015873,0.8888888888888888,0.8611111111111112,0.8275862068965517,0.8571428571428571
29,0.013601407733615995,0.9980952380952381,0.9958228905597326,0.9991928974979822,0.998324958123953,0.9970723546633208,0.7754729122130407,0.8571428571428571,0.9629629629629629,0.7777777777777778,0.7647058823529411,0.8524590163934426
30,0.005723457023640778,0.9983673469387755,0.9966583124477861,0.9991928974979822,0.998326359832636,0.9974916387959866,0.9797830295689877,0.8095238095238095,0.9629629629629629,0.6944444444444444,0.7027027027027027,0.8125
31,0.001129861755029704,1.0,1.0,1.0,1.0,1.0,1.3350602351387755,0.7936507936507936,0.9629629629629629,0.6666666666666666,0.6842105263157895,0.8
32,0.0004907726481569564,1.0,1.0,1.0,1.0,1.0,1.424919558960634,0.7936507936507936,0.9629629629629629,0.6666666666666666,0.6842105263157895,0.8
33,0.00039292653329032123,1.0,1.0,1.0,1.0,1.0,1.3172832237970498,0.8095238095238095,0.9629629629629629,0.6944444444444444,0.7027027027027027,0.8125
34,0.00024333933645900543,1.0,1.0,1.0,1.0,1.0,1.4683997477136834,0.7936507936507936,0.9629629629629629,0.6666666666666666,0.6842105263157895,0.8
35,0.00019281942385080948,1.0,1.0,1.0,1.0,1.0,1.5360078950489258,0.7777777777777778,0.9259259259259259,0.6666666666666666,0.6756756756756757,0.78125
36,0.00013868815538419576,1.0,1.0,1.0,1.0,1.0,1.7212080847363853,0.7777777777777778,0.9259259259259259,0.6666666666666666,0.6756756756756757,0.78125
37,0.023809192701659425,0.9918367346938776,0.9849624060150376,0.9951573849878934,0.9899244332493703,0.9874371859296482,1.2935955219325566,0.7301587301587301,0.9629629629629629,0.5555555555555556,0.6190476190476191,0.7536231884057971
38,0.0035151392997236175,0.9991836734693877,0.9983291562238931,0.9995964487489911,0.9991638795986622,0.9987463435018805,1.5564328909866394,0.6984126984126984,0.9629629629629629,0.5,0.5909090909090909,0.7323943661971831
39,0.001972468148011771,0.9997278911564625,0.9991645781119465,1.0,1.0,0.9995821145006268,1.4101716382281175,0.7619047619047619,0.9629629629629629,0.6111111111111112,0.65,0.7761194029850746
40,0.005916397111782595,0.9980952380952381,0.9974937343358395,0.9983857949959645,0.996661101836394,0.9970772442588727,1.5719266939494345,0.7142857142857143,0.9259259259259259,0.5555555555555556,0.6097560975609756,0.7352941176470589
41,0.005354977706938247,0.9980952380952381,0.9958228905597326,0.9991928974979822,0.998324958123953,0.9970723546633208,1.714680484363011,0.6349206349206349,1.0,0.3611111111111111,0.54,0.7012987012987013
42,0.004928538571855293,0.9978231292517007,0.9966583124477861,0.9983857949959645,0.9966583124477861,0.9966583124477861,1.50784114245621,0.6984126984126984,0.9629629629629629,0.5,0.5909090909090909,0.7323943661971831
43,0.0006651151571723752,1.0,1.0,1.0,1.0,1.0,1.6921303271064683,0.7142857142857143,1.0,0.5,0.6,0.75
44,0.0018847762607196409,0.9991836734693877,0.9983291562238931,0.9995964487489911,0.9991638795986622,0.9987463435018805,1.978145259240317,0.6984126984126984,1.0,0.4722222222222222,0.5869565217391305,0.7397260273972602
45,0.0003468418624022418,1.0,1.0,1.0,1.0,1.0,2.373246994046938,0.6984126984126984,1.0,0.4722222222222222,0.5869565217391305,0.7397260273972602
46,0.0002653355449664788,1.0,1.0,1.0,1.0,1.0,1.6848455203904047,0.7301587301587301,0.9629629629629629,0.5555555555555556,0.6190476190476191,0.7536231884057971
47,0.0026161086621482818,0.998639455782313,0.9983291562238931,0.9987893462469734,0.9974958263772955,0.9979123173277662,1.8801130316264572,0.7301587301587301,1.0,0.5277777777777778,0.6136363636363636,0.7605633802816901
48,0.000193650842520088,1.0,1.0,1.0,1.0,1.0,1.9450990679758853,0.746031746031746,1.0,0.5555555555555556,0.627906976744186,0.7714285714285715
49,7.080443701184145e-05,1.0,1.0,1.0,1.0,1.0,1.7870178192896429,0.7619047619047619,1.0,0.5833333333333334,0.6428571428571429,0.782608695652174
50,0.00918667010575209,0.9983673469387755,0.9991645781119465,0.9979822437449556,0.9958368026644463,0.9974979149291076,1.4560423294703166,0.6507936507936508,0.9629629629629629,0.4166666666666667,0.5531914893617021,0.7027027027027027
51,0.0020059518885662537,0.9994557823129252,0.9991645781119465,0.9995964487489911,0.9991645781119465,0.9991645781119465,2.069024161273052,0.6666666666666666,0.9629629629629629,0.4444444444444444,0.5652173913043478,0.7123287671232876
52,0.00014114512714674557,1.0,1.0,1.0,1.0,1.0,2.411812838226084,0.6666666666666666,0.9629629629629629,0.4444444444444444,0.5652173913043478,0.7123287671232876
53,8.516285986818538e-05,1.0,1.0,1.0,1.0,1.0,2.3849436858639357,0.6825396825396826,0.9629629629629629,0.4722222222222222,0.5777777777777777,0.7222222222222222
54,6.909026564986859e-05,1.0,1.0,1.0,1.0,1.0,2.520750447442489,0.6666666666666666,0.9629629629629629,0.4444444444444444,0.5652173913043478,0.7123287671232876
55,4.587360340183233e-05,1.0,1.0,1.0,1.0,1.0,2.4219245176969304,0.6825396825396826,0.9629629629629629,0.4722222222222222,0.5777777777777777,0.7222222222222222
56,0.3476038490969037,0.8577200577200578,0.786075036075036,0.9054834054834054,0.8472006220839814,0.8154940119760479,0.31435687295974246,0.8412698412698413,0.8888888888888888,0.8055555555555556,0.7741935483870968,0.8275862068965517
57,0.013386042077453858,0.9989115646258503,0.9991645781119465,0.9987893462469734,0.9974979149291076,0.998330550918197,0.7414537274707405,0.8253968253968254,0.9629629629629629,0.7222222222222222,0.7222222222222222,0.8253968253968254
58,0.0012841699106086579,1.0,1.0,1.0,1.0,1.0,0.9538847309064179,0.8253968253968254,0.9259259259259259,0.75,0.7352941176470589,0.819672131147541
59,0.0007408973325176962,1.0,1.0,1.0,1.0,1.0,1.2419850492779727,0.8253968253968254,0.9629629629629629,0.7222222222222222,0.7222222222222222,0.8253968253968254
60,0.003910659546124413,0.9989115646258503,0.9974937343358395,0.9995964487489911,0.999163179916318,0.9983277591973244,1.0248346479382322,0.8412698412698413,0.9259259259259259,0.7777777777777778,0.7575757575757576,0.8333333333333334
61,0.006683656401476081,0.998639455782313,0.9983291562238931,0.9987893462469734,0.9974958263772955,0.9979123173277662,1.0583644844887277,0.7777777777777778,0.9629629629629629,0.6388888888888888,0.6666666666666666,0.7878787878787878
62,0.0022739192454831764,0.9997278911564625,0.9991645781119465,1.0,1.0,0.9995821145006268,1.161783128707034,0.8253968253968254,0.9629629629629629,0.7222222222222222,0.7222222222222222,0.8253968253968254
63,0.001289426724483468,0.9997278911564625,1.0,0.9995964487489911,0.9991652754590985,0.9995824634655532,1.2880900324773161,0.8253968253968254,0.9629629629629629,0.7222222222222222,0.7222222222222222,0.8253968253968254
