Epoch,Loss,Accuracy,Sensitivity,Specificity,Precision,F1,Validation Loss,Validation Accuracy,Validation Sensitivity,Validation Specificity,Validation Precision,Validation F1
1,0.24020751476896052,0.8955102040816326,0.7878028404344194,0.9475383373688459,0.8788443616029823,0.8308370044052863,1.4234448070563968,0.6190476190476191,0.9259259259259259,0.3888888888888889,0.5319148936170213,0.6756756756756757
2,0.07165583101462344,0.979047619047619,0.9674185463659147,0.9846650524616626,0.9682274247491639,0.9678228165482657,1.6112852531766135,0.5555555555555556,0.9259259259259259,0.2777777777777778,0.49019607843137253,0.6410256410256411
3,0.044766178469674116,0.9896598639455783,0.985797827903091,0.9915254237288136,0.9825145711906744,0.9841534612176814,1.311400330255902,0.6349206349206349,0.8888888888888888,0.4444444444444444,0.5454545454545454,0.676056338028169
4,0.038075186128151556,0.9907482993197279,0.985797827903091,0.9931396287328491,0.985797827903091,0.985797827903091,1.9927133283917866,0.5555555555555556,0.9259259259259259,0.2777777777777778,0.49019607843137253,0.6410256410256411
5,0.03345961523273972,0.9910204081632653,0.9849624060150376,0.9939467312348669,0.9874371859296482,0.986198243412798,2.081597572281247,0.5714285714285714,0.9629629629629629,0.2777777777777778,0.5,0.6582278481012658
6,0.016072095641486196,0.9972789115646259,0.9958228905597326,0.9979822437449556,0.9958228905597326,0.9958228905597326,2.9797563969142855,0.42857142857142855,0.2222222222222222,0.5833333333333334,0.2857142857142857,0.25
7,0.022274419126404942,0.9940136054421769,0.9908103592314118,0.9955609362389023,0.9908103592314118,0.9908103592314118,2.546263293614463,0.5714285714285714,0.9259259259259259,0.3055555555555556,0.5,0.6493506493506493
8,0.007516402867907772,0.9994557823129252,0.9991645781119465,0.9995964487489911,0.9991645781119465,0.9991645781119465,2.676380713780721,0.5873015873015873,0.9259259259259259,0.3333333333333333,0.5102040816326531,0.6578947368421053
9,0.019839941442747706,0.9934693877551021,0.9883040935672515,0.9959644874899112,0.991617770326907,0.9899581589958159,1.9709575885818118,0.5714285714285714,0.8888888888888888,0.3333333333333333,0.5,0.64
10,0.019499321030516204,0.9945578231292517,0.9908103592314118,0.9963680387409201,0.9924686192468619,0.9916387959866221,2.407505348561302,0.6031746031746031,0.9629629629629629,0.3333333333333333,0.52,0.6753246753246753
11,0.39931215028054096,0.8363636363636363,0.7662337662337663,0.8831168831168831,0.8137931034482758,0.7892976588628763,0.4383332592154306,0.8253968253968254,0.8518518518518519,0.8055555555555556,0.7666666666666667,0.8070175438596491
12,0.32919659315679667,0.8652236652236652,0.8142135642135642,0.8992303992303993,0.843423019431988,0.82856093979442,0.4246509363726964,0.8095238095238095,0.7777777777777778,0.8333333333333334,0.7777777777777778,0.7777777777777778
13,0.3002831505662607,0.8797979797979798,0.836940836940837,0.9083694083694084,0.8589411329137356,0.8477982824776173,0.5282624605156127,0.7301587301587301,0.8518518518518519,0.6388888888888888,0.6388888888888888,0.7301587301587301
14,0.26025416878996815,0.8968253968253969,0.8589466089466089,0.922077922077922,0.8802218114602588,0.8694540807011137,0.7187942481703229,0.7619047619047619,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.7619047619047619
15,0.24001243158766375,0.9050505050505051,0.8737373737373737,0.9259259259259259,0.8871794871794871,0.8804071246819338,0.43204099956959013,0.8571428571428571,0.8148148148148148,0.8888888888888888,0.8461538461538461,0.8301886792452831
16,0.2070467663641272,0.9177489177489178,0.8874458874458875,0.937950937950938,0.9050772626931567,0.8961748633879781,0.5815615327585311,0.8253968253968254,0.7407407407407407,0.8888888888888888,0.8333333333333334,0.7843137254901961
17,0.19226777432069805,0.9246753246753247,0.898989898989899,0.9417989417989417,0.9114850036576445,0.9051943334544134,0.5498981390680585,0.746031746031746,0.8518518518518519,0.6666666666666666,0.6571428571428571,0.7419354838709677
18,0.18138484679280764,0.9308802308802309,0.8993506493506493,0.9518999518999519,0.9257333828444114,0.9123513266239707,0.3747137574449418,0.8412698412698413,0.8888888888888888,0.8055555555555556,0.7741935483870968,0.8275862068965517
19,0.15097641671966078,0.9408369408369408,0.9177489177489178,0.9562289562289562,0.9332355099046221,0.925427428155693,0.4527783555880425,0.8571428571428571,0.8888888888888888,0.8333333333333334,0.8,0.8421052631578947
20,0.13693309148846122,0.9468975468975469,0.9285714285714286,0.9591149591149591,0.9380466472303207,0.9332849891225525,0.6392524031892656,0.7936507936507936,0.8888888888888888,0.7222222222222222,0.7058823529411765,0.7868852459016393
