Epoch,Loss,Accuracy,Sensitivity,Specificity,Precision,F1,Validation Loss,Validation Accuracy,Validation Sensitivity,Validation Specificity,Validation Precision,Validation F1
1,0.21412494106009147,0.9063945578231293,0.8554720133667502,0.9309927360774818,0.8569037656903765,0.8561872909698997,0.8215018794650123,0.746031746031746,0.8888888888888888,0.6388888888888888,0.6486486486486487,0.75
2,0.055131873284802346,0.9823129251700681,0.9724310776942355,0.9870863599677159,0.9732441471571907,0.9728374425407439,2.724902906115093,0.5238095238095238,0.9629629629629629,0.19444444444444445,0.4727272727272727,0.6341463414634146
3,0.033848737878281444,0.9899319727891156,0.985797827903091,0.9919289749798225,0.9833333333333333,0.98456403838131,2.2192951459733266,0.5714285714285714,0.9629629629629629,0.2777777777777778,0.5,0.6582278481012658
4,0.028053014099512403,0.9915646258503401,0.9866332497911445,0.9939467312348669,0.9874581939799331,0.9870455495194317,2.6284139799693276,0.5555555555555556,0.9259259259259259,0.2777777777777778,0.49019607843137253,0.6410256410256411
5,0.016932700396971586,0.9956462585034014,0.9933166248955723,0.9967715899919289,0.9933166248955723,0.9933166248955723,1.005458936775251,0.746031746031746,0.8518518518518519,0.6666666666666666,0.6571428571428571,0.7419354838709677
6,0.030082351561686416,0.9904761904761905,0.9874686716791979,0.9919289749798225,0.9833610648918469,0.9854105877448937,1.4980483793077015,0.6031746031746031,0.9629629629629629,0.3333333333333333,0.52,0.6753246753246753
7,0.010062651777716012,0.9970068027210884,0.9941520467836257,0.9983857949959645,0.9966499162479062,0.9953994144709327,1.7505449614827595,0.6507936507936508,1.0,0.3888888888888889,0.5510204081632653,0.7105263157894737
8,0.01686101154560464,0.9945578231292517,0.9933166248955723,0.9951573849878934,0.9900083263946711,0.9916597164303587,1.5308960714037456,0.5555555555555556,0.8888888888888888,0.3055555555555556,0.4897959183673469,0.631578947368421
9,0.0028768210209328777,0.9991836734693877,0.9983291562238931,0.9995964487489911,0.9991638795986622,0.9987463435018805,2.546451542112562,0.5873015873015873,1.0,0.2777777777777778,0.5094339622641509,0.675
10,0.010008773452279214,0.9970068027210884,0.9949874686716792,0.9979822437449556,0.995819397993311,0.9954032595068951,2.2503116528193154,0.6507936507936508,0.9629629629629629,0.4166666666666667,0.5531914893617021,0.7027027027027027
11,0.4353298768250629,0.8090909090909091,0.7388167388167388,0.8559403559403559,0.7737060823573857,0.7558590145783355,0.3504921758458728,0.8253968253968254,0.8518518518518519,0.8055555555555556,0.7666666666666667,0.8070175438596491
12,0.34043864728546935,0.8546897546897547,0.8015873015873016,0.89009139009139,0.8294139604329974,0.815263254448725,0.3198900149455146,0.8412698412698413,0.8888888888888888,0.8055555555555556,0.7741935483870968,0.8275862068965517
13,0.2803584436769093,0.8793650793650793,0.8391053391053391,0.9062049062049062,0.8564064801178203,0.847667638483965,0.33904318724359783,0.7936507936507936,0.8888888888888888,0.7222222222222222,0.7058823529411765,0.7868852459016393
14,0.22846668893296654,0.9072150072150073,0.8740981240981242,0.9292929292929293,0.8917924181082075,0.8828566223355803,0.28238233368075083,0.9047619047619048,0.9259259259259259,0.8888888888888888,0.8620689655172413,0.8928571428571429
15,0.17109109162961766,0.9327561327561328,0.9101731601731602,0.9478114478114478,0.9208029197080292,0.9154571843251088,0.30191968381404877,0.9047619047619048,0.9629629629629629,0.8611111111111112,0.8387096774193549,0.896551724137931
16,0.1272100105747301,0.9533910533910533,0.9372294372294372,0.9641654641654641,0.9457590098289043,0.9414749048740714,0.3383768212700647,0.9047619047619048,0.9259259259259259,0.8888888888888888,0.8620689655172413,0.8928571428571429
17,0.1011403212241807,0.9637806637806637,0.950937950937951,0.9723424723424724,0.9581970192657215,0.9545536845917074,0.3146135123180492,0.8888888888888888,0.8518518518518519,0.9166666666666666,0.8846153846153846,0.8679245283018868
18,0.07708252311091532,0.9741702741702741,0.9653679653679653,0.98003848003848,0.9699166364624864,0.9676369553426144,0.5245022891118886,0.8888888888888888,0.9259259259259259,0.8611111111111112,0.8333333333333334,0.8771929824561403
19,0.06901946076064963,0.9766233766233766,0.9700577200577201,0.981000481000481,0.9714595375722543,0.9707581227436823,0.5125895230217822,0.8253968253968254,0.9629629629629629,0.7222222222222222,0.7222222222222222,0.8253968253968254
20,0.05573044806802148,0.9797979797979798,0.974025974025974,0.9836459836459837,0.9754335260115607,0.9747292418772563,0.45164202504037393,0.8571428571428571,0.9259259259259259,0.8055555555555556,0.78125,0.847457627118644
