Epoch,Loss,Accuracy,Sensitivity,Specificity,Precision,F1,Validation Loss,Validation Accuracy,Validation Sensitivity,Validation Specificity,Validation Precision,Validation F1
1,0.25076633292902895,0.8919727891156463,0.7886382623224728,0.9418886198547215,0.8676470588235294,0.8262582056892779,0.7362035919749548,0.7619047619047619,0.9629629629629629,0.6111111111111112,0.65,0.7761194029850746
2,0.051101706852616904,0.9842176870748299,0.974937343358396,0.9887005649717514,0.9765690376569037,0.975752508361204,1.438834271733723,0.6349206349206349,0.9259259259259259,0.4166666666666667,0.5434782608695652,0.684931506849315
3,0.027197806309959313,0.9923809523809524,0.9866332497911445,0.9951573849878934,0.9899413243922883,0.9882845188284519,1.6243544760204496,0.6349206349206349,0.9629629629629629,0.3888888888888889,0.5416666666666666,0.6933333333333334
4,0.018126371925899467,0.9948299319727891,0.9908103592314118,0.9967715899919289,0.9932998324958124,0.9920535340861564,2.2362853950924344,0.5079365079365079,0.9629629629629629,0.16666666666666666,0.4642857142857143,0.6265060240963856
5,0.0214586428625091,0.9940136054421769,0.9916457811194653,0.9951573849878934,0.9899916597164303,0.9908180300500835,0.6929222210532143,0.8095238095238095,0.8888888888888888,0.75,0.7272727272727273,0.8
6,0.01423941722677444,0.9948299319727891,0.9908103592314118,0.9967715899919289,0.9932998324958124,0.9920535340861564,1.5958635646199424,0.6825396825396826,0.9259259259259259,0.5,0.5813953488372093,0.7142857142857143
7,0.013944998203450498,0.9945578231292517,0.9908103592314118,0.9963680387409201,0.9924686192468619,0.9916387959866221,1.6205754717072798,0.6825396825396826,0.9629629629629629,0.4722222222222222,0.5777777777777777,0.7222222222222222
8,0.01608449569141071,0.9959183673469387,0.9958228905597326,0.9959644874899112,0.9916805324459235,0.9937473947478116,2.4322304952712286,0.5555555555555556,0.9629629629629629,0.25,0.49056603773584906,0.65
9,0.01121298591390416,0.9961904761904762,0.9899749373433584,0.9991928974979822,0.9983150800336984,0.9941275167785235,2.1285790015780734,0.6349206349206349,0.9629629629629629,0.3888888888888889,0.5416666666666666,0.6933333333333334
10,0.0103404523179784,0.9975510204081632,0.9966583124477861,0.9979822437449556,0.9958263772954925,0.9962421711899792,1.5886158148447673,0.6507936507936508,0.9259259259259259,0.4444444444444444,0.5555555555555556,0.6944444444444444
11,0.40491372957116084,0.8326118326118326,0.7662337662337663,0.8768638768638769,0.8057663125948407,0.7855029585798816,0.29364438969937584,0.873015873015873,0.9259259259259259,0.8333333333333334,0.8064516129032258,0.8620689655172413
12,0.32660875404723966,0.8686868686868687,0.8167388167388168,0.9033189033189033,0.8492123030757689,0.8326590658330268,0.3672277735812323,0.7936507936507936,0.9629629629629629,0.6666666666666666,0.6842105263157895,0.8
13,0.2903988108834491,0.8838383838383839,0.8376623376623377,0.9146224146224147,0.8673888681359732,0.852266470912094,0.33655853451244416,0.8412698412698413,0.8148148148148148,0.8611111111111112,0.8148148148148148,0.8148148148148148
14,0.25600165505913686,0.8965367965367965,0.854978354978355,0.9242424242424242,0.88268156424581,0.868609125893348,0.32217685736361,0.8888888888888888,0.8518518518518519,0.9166666666666666,0.8846153846153846,0.8679245283018868
15,0.2234456460366582,0.912987012987013,0.8733766233766234,0.9393939393939394,0.9057239057239057,0.8892561983471075,0.39846764717783245,0.873015873015873,0.8888888888888888,0.8611111111111112,0.8275862068965517,0.8571428571428571
16,0.18978570082788,0.9222222222222223,0.8921356421356421,0.9422799422799423,0.9115370438628824,0.9017319963536918,0.37078917925319976,0.8571428571428571,0.9259259259259259,0.8055555555555556,0.78125,0.847457627118644
17,0.15668445682317061,0.9402597402597402,0.9170274170274171,0.9557479557479558,0.9325018341892883,0.9246998908694071,0.25146827125360094,0.9047619047619048,0.9259259259259259,0.8888888888888888,0.8620689655172413,0.8928571428571429
18,0.11715756230873377,0.9548340548340548,0.9386724386724387,0.9656084656084656,0.9479052823315118,0.9432662678992206,0.4361473697991598,0.8095238095238095,0.8518518518518519,0.7777777777777778,0.7419354838709677,0.7931034482758621
19,0.10880588714226887,0.9623376623376624,0.9458874458874459,0.9733044733044733,0.9593852908891328,0.9525885558583106,0.36232239812139483,0.8888888888888888,0.9629629629629629,0.8333333333333334,0.8125,0.8813559322033898
20,0.07767600310727159,0.973015873015873,0.9635642135642135,0.9793169793169794,0.9688066739209286,0.9661783324290106,0.45579330977939425,0.873015873015873,0.9259259259259259,0.8333333333333334,0.8064516129032258,0.8620689655172413
