Epoch,Loss,Accuracy,Sensitivity,Specificity,Precision,F1,Validation Loss,Validation Accuracy,Validation Sensitivity,Validation Specificity,Validation Precision,Validation F1
1,0.16531350918114185,0.9325170068027211,0.8939014202172096,0.9511702986279258,0.8984047019311503,0.8961474036850922,2.3979575747535344,0.5396825396825397,0.9629629629629629,0.2222222222222222,0.48148148148148145,0.6419753086419753
2,0.04189927108763229,0.986938775510204,0.9774436090225563,0.9915254237288136,0.982367758186398,0.9798994974874372,1.4147704328809465,0.5873015873015873,0.9259259259259259,0.3333333333333333,0.5102040816326531,0.6578947368421053
3,0.026697181249797648,0.992108843537415,0.9866332497911445,0.9947538337368845,0.9891122278056952,0.9878711836051861,1.8225733098529635,0.6031746031746031,1.0,0.3055555555555556,0.5192307692307693,0.6835443037974683
4,0.021109319078248173,0.9931972789115646,0.9899749373433584,0.9947538337368845,0.9891485809682805,0.9895615866388309,2.1303872494470504,0.6031746031746031,1.0,0.3055555555555556,0.5192307692307693,0.6835443037974683
5,0.008264107993426955,0.9975510204081632,0.9958228905597326,0.9983857949959645,0.9966555183946488,0.9962390305056414,1.9982797607542977,0.6190476190476191,0.9629629629629629,0.3611111111111111,0.5306122448979592,0.6842105263157895
6,0.016708119059073403,0.9956462585034014,0.9933166248955723,0.9967715899919289,0.9933166248955723,0.9933166248955723,2.0800190861262973,0.6190476190476191,1.0,0.3333333333333333,0.5294117647058824,0.6923076923076923
7,0.012623036725281858,0.9975510204081632,0.9958228905597326,0.9983857949959645,0.9966555183946488,0.9962390305056414,2.1443658196736894,0.6666666666666666,1.0,0.4166666666666667,0.5625,0.72
8,0.020688587565237948,0.9934693877551021,0.9874686716791979,0.9963680387409201,0.9924433249370277,0.9899497487437185,1.9561230549736628,0.6031746031746031,0.9259259259259259,0.3611111111111111,0.5208333333333334,0.6666666666666666
9,0.014307410185150865,0.9964625850340136,0.9924812030075187,0.9983857949959645,0.9966442953020134,0.9945583926329008,2.5447353938269237,0.5873015873015873,0.9259259259259259,0.3333333333333333,0.5102040816326531,0.6578947368421053
10,0.01050449945994013,0.9970068027210884,0.9966583124477861,0.9971751412429378,0.9941666666666666,0.9954109303295786,2.0828163869797236,0.6507936507936508,1.0,0.3888888888888889,0.5510204081632653,0.7105263157894737
11,0.3974500781658924,0.8372294372294372,0.7741702741702742,0.8792688792688793,0.8104229607250756,0.7918819188191882,0.38433251589063616,0.8095238095238095,0.8888888888888888,0.75,0.7272727272727273,0.8
12,0.3271636635452122,0.8666666666666667,0.8163780663780664,0.9001924001924002,0.8450336071695295,0.8304587155963302,0.33825910931068753,0.873015873015873,0.8888888888888888,0.8611111111111112,0.8275862068965517,0.8571428571428571
13,0.28425279679408494,0.8848484848484849,0.8398268398268398,0.9148629148629148,0.8680089485458613,0.8536853685368537,0.48679304122924805,0.7936507936507936,0.8518518518518519,0.75,0.71875,0.7796610169491526
14,0.24553197282776343,0.9011544011544012,0.8578643578643579,0.93001443001443,0.8909704008992132,0.8741040249954053,0.4129413515329361,0.8253968253968254,0.8888888888888888,0.7777777777777778,0.75,0.8135593220338984
15,0.20320905771154862,0.922077922077922,0.8885281385281385,0.9444444444444444,0.9142538975501113,0.9012074643249177,0.6803104671693984,0.7777777777777778,0.9259259259259259,0.6666666666666666,0.6756756756756757,0.78125
16,0.1653635052402341,0.9376623376623376,0.9145021645021645,0.9531024531024531,0.9285714285714286,0.9214830970556162,0.7306481955779923,0.7301587301587301,0.8888888888888888,0.6111111111111112,0.631578947368421,0.7384615384615385
17,0.1309831984870641,0.9516594516594516,0.9357864357864358,0.9622414622414622,0.9429298436932024,0.9393445591164222,0.4678189167900691,0.8095238095238095,0.8888888888888888,0.75,0.7272727272727273,0.8
18,0.09886438725798419,0.962914862914863,0.9491341991341992,0.9721019721019721,0.9577721150345831,0.9534335930422178,0.5462585811222357,0.8412698412698413,0.8148148148148148,0.8611111111111112,0.8148148148148148,0.8148148148148148
19,0.08701853731722392,0.9679653679653679,0.9534632034632035,0.9776334776334776,0.9660087719298246,0.9596949891067538,0.5798873052237525,0.8571428571428571,0.8888888888888888,0.8333333333333334,0.8,0.8421052631578947
20,0.07205509010387899,0.9743145743145744,0.9682539682539683,0.9783549783549783,0.9675558759913482,0.9679047962495492,0.6567498055242357,0.873015873015873,0.8888888888888888,0.8611111111111112,0.8275862068965517,0.8571428571428571
