Epoch,Loss,Accuracy,Sensitivity,Specificity,Precision,F1,Validation Loss,Validation Accuracy,Validation Sensitivity,Validation Specificity,Validation Precision,Validation F1
1,0.19971424316771988,0.9213605442176871,0.8830409356725146,0.9398708635996772,0.8764510779436152,0.8797336662505202,0.7319922731036231,0.6825396825396826,0.9629629629629629,0.4722222222222222,0.5777777777777777,0.7222222222222222
2,0.06680378429997129,0.9831292517006802,0.9715956558061821,0.9887005649717514,0.9764903442485307,0.974036850921273,1.7202285793092515,0.5555555555555556,0.8518518518518519,0.3333333333333333,0.48936170212765956,0.6216216216216216
3,0.049153280899334115,0.9858503401360544,0.9757727652464494,0.9907183212267958,0.980688497061293,0.9782244556113903,1.6103053603853499,0.5714285714285714,0.9259259259259259,0.3055555555555556,0.5,0.6493506493506493
4,0.027488267051727595,0.9918367346938776,0.985797827903091,0.9947538337368845,0.989103101424979,0.9874476987447699,2.036950942069765,0.5873015873015873,0.9629629629629629,0.3055555555555556,0.5098039215686274,0.6666666666666666
5,0.012193477183016537,0.9978231292517007,0.9958228905597326,0.9987893462469734,0.9974895397489539,0.9966555183946488,2.321022777330308,0.5555555555555556,0.9629629629629629,0.25,0.49056603773584906,0.65
6,0.018294487502045778,0.9961904761904762,0.9924812030075187,0.9979822437449556,0.9958088851634534,0.994142259414226,2.6272029252279374,0.5873015873015873,1.0,0.2777777777777778,0.5094339622641509,0.675
7,0.023189991960416035,0.9937414965986394,0.9874686716791979,0.9967715899919289,0.9932773109243698,0.9903644742354419,2.629130310482449,0.49206349206349204,0.9629629629629629,0.1388888888888889,0.45614035087719296,0.6190476190476191
8,0.009329956756258497,0.998639455782313,0.9983291562238931,0.9987893462469734,0.9974958263772955,0.9979123173277662,2.132744974087155,0.6190476190476191,0.9629629629629629,0.3611111111111111,0.5306122448979592,0.6842105263157895
9,0.016660754189376726,0.9961904761904762,0.9958228905597326,0.9963680387409201,0.9925062447960034,0.994161801501251,2.761534891431294,0.5238095238095238,0.9629629629629629,0.19444444444444445,0.4727272727272727,0.6341463414634146
10,0.020229313746728258,0.9956462585034014,0.9924812030075187,0.9971751412429378,0.994142259414226,0.9933110367892977,2.60623127884335,0.5396825396825397,0.9259259259259259,0.25,0.4807692307692308,0.6329113924050633
11,0.4237189255020491,0.8171717171717172,0.7326839826839827,0.8734968734968735,0.7942901838091514,0.7622443235128542,0.2833895082511599,0.8412698412698413,0.7777777777777778,0.8888888888888888,0.84,0.8076923076923077
12,0.3377091862250544,0.859018759018759,0.7997835497835498,0.8985088985088985,0.8400909435392194,0.8194418776566254,0.3074965841240353,0.8888888888888888,0.8148148148148148,0.9444444444444444,0.9166666666666666,0.8627450980392157
13,0.3091061110964413,0.8707070707070707,0.8163780663780664,0.9069264069264069,0.8539622641509435,0.83474732571007,0.23167778196788968,0.9206349206349206,0.8888888888888888,0.9444444444444444,0.9230769230769231,0.9056603773584906
14,0.28468654463645526,0.8822510822510823,0.8333333333333334,0.9148629148629148,0.8671171171171171,0.8498896247240618,0.27502568243514924,0.873015873015873,0.8518518518518519,0.8888888888888888,0.8518518518518519,0.8518518518518519
15,0.2599330197444554,0.8897546897546897,0.8416305916305916,0.9218374218374218,0.8777276147479308,0.8593001841620627,0.27064064677272526,0.8888888888888888,0.8518518518518519,0.9166666666666666,0.8846153846153846,0.8679245283018868
16,0.23924284279776514,0.9028860028860028,0.8560606060606061,0.9341029341029341,0.8964865885908576,0.8758073445285108,0.32365210070496514,0.8412698412698413,0.8888888888888888,0.8055555555555556,0.7741935483870968,0.8275862068965517
17,0.21748630762487262,0.910966810966811,0.8733766233766234,0.936026936026936,0.9010048381094157,0.8869756365634731,0.3206848521081228,0.8571428571428571,0.8888888888888888,0.8333333333333334,0.8,0.8421052631578947
18,0.19123051976207187,0.922943722943723,0.887085137085137,0.9468494468494468,0.9175373134328358,0.9020542920029347,0.2963165788955632,0.9047619047619048,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8888888888888888
19,0.18101412810030437,0.926984126984127,0.8964646464646465,0.9473304473304474,0.919008875739645,0.9075967859751644,0.40309096305143266,0.8571428571428571,0.8518518518518519,0.8611111111111112,0.8214285714285714,0.8363636363636363
20,0.1563732715476772,0.9412698412698413,0.920995670995671,0.9547859547859547,0.9314118934695367,0.9261744966442953,0.4461181800043772,0.8412698412698413,0.9259259259259259,0.7777777777777778,0.7575757575757576,0.8333333333333334
