Epoch,Loss,Accuracy,Sensitivity,Specificity,Precision,F1,Validation Loss,Validation Accuracy,Validation Sensitivity,Validation Specificity,Validation Precision,Validation F1
1,0.2786167678954143,0.8835374149659864,0.8195488721804511,0.9144471347861178,0.8222967309304275,0.8209205020920503,1.1150793225046187,0.6666666666666666,1.0,0.4166666666666667,0.5625,0.72
2,0.09382709458014186,0.9692517006802721,0.9490392648287385,0.9790153349475383,0.9562289562289562,0.9526205450733752,0.9573592262135612,0.7619047619047619,0.9629629629629629,0.6111111111111112,0.65,0.7761194029850746
3,0.05765303321410807,0.9795918367346939,0.9690893901420217,0.9846650524616626,0.9682804674457429,0.9686847599164927,1.5287169804648748,0.6031746031746031,1.0,0.3055555555555556,0.5192307692307693,0.6835443037974683
4,0.029301722733379932,0.9926530612244898,0.9874686716791979,0.9951573849878934,0.9899497487437185,0.9887076537013801,1.2370374576439933,0.6825396825396826,0.9259259259259259,0.5,0.5813953488372093,0.7142857142857143
5,0.03372736767948079,0.9899319727891156,0.9832915622389307,0.9931396287328491,0.9857621440536013,0.9845253032204099,1.9269068506028917,0.5714285714285714,0.9259259259259259,0.3055555555555556,0.5,0.6493506493506493
6,0.024262727486495512,0.992108843537415,0.985797827903091,0.9951573849878934,0.9899328859060402,0.9878610297195479,1.7994479224795388,0.6031746031746031,1.0,0.3055555555555556,0.5192307692307693,0.6835443037974683
7,0.02849069560687913,0.9912925170068028,0.985797827903091,0.9939467312348669,0.9874476987447699,0.9866220735785953,0.856205441057682,0.6825396825396826,0.8518518518518519,0.5555555555555556,0.5897435897435898,0.696969696969697
8,0.022147452548577064,0.9931972789115646,0.9891395154553049,0.9951573849878934,0.9899665551839465,0.9895528625156708,2.0138079949787686,0.5873015873015873,0.9629629629629629,0.3055555555555556,0.5098039215686274,0.6666666666666666
9,0.011303132451472006,0.9972789115646259,0.9941520467836257,0.9987893462469734,0.9974853310980721,0.99581589958159,2.3823624679020474,0.6349206349206349,0.9629629629629629,0.3888888888888889,0.5416666666666666,0.6933333333333334
10,0.01076746991132291,0.996734693877551,0.9941520467836257,0.9979822437449556,0.99581589958159,0.9949832775919732,1.1154068505007124,0.6666666666666666,0.8518518518518519,0.5277777777777778,0.575,0.6865671641791045
11,0.42023663841628756,0.8186147186147186,0.7359307359307359,0.8737373737373737,0.7953216374269005,0.7644744238336144,0.4564515243447016,0.8412698412698413,0.9629629629629629,0.75,0.7428571428571429,0.8387096774193549
12,0.3444507723031794,0.8542568542568543,0.7961760461760462,0.892977392977393,0.8322021116138764,0.8137905604719764,0.31812142332394916,0.873015873015873,0.8148148148148148,0.9166666666666666,0.88,0.8461538461538461
13,0.31278654235868053,0.868975468975469,0.816017316017316,0.9042809042809042,0.850375939849624,0.8328424153166422,0.33802005412086605,0.8888888888888888,0.8518518518518519,0.9166666666666666,0.8846153846153846,0.8679245283018868
14,0.28752109398272474,0.8754689754689755,0.8189033189033189,0.9131794131794132,0.862789813759027,0.8402739218952434,0.3476365938309639,0.8412698412698413,0.8518518518518519,0.8333333333333334,0.7931034482758621,0.8214285714285714
15,0.2604879228336384,0.8913419913419913,0.8506493506493507,0.9184704184704184,0.8743047830923248,0.8623148656061437,0.5765326827291458,0.7142857142857143,0.8888888888888888,0.5833333333333334,0.6153846153846154,0.7272727272727273
16,0.23838583285265844,0.8985569985569986,0.8564213564213564,0.9266474266474266,0.8861515490854797,0.8710328380113741,0.4806106634556301,0.7936507936507936,0.8518518518518519,0.75,0.71875,0.7796610169491526
17,0.20666962667633101,0.912987012987013,0.8766233766233766,0.9372294372294372,0.903010033444816,0.8896210873146623,0.3988921596180825,0.9047619047619048,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8888888888888888
18,0.1865935319015947,0.9258297258297258,0.8953823953823954,0.9461279461279462,0.9172209903917221,0.9061701350857977,0.5451971098544106,0.8253968253968254,0.8518518518518519,0.8055555555555556,0.7666666666666667,0.8070175438596491
19,0.1669639643647239,0.9343434343434344,0.9112554112554112,0.9497354497354498,0.9235831809872029,0.9173778826947522,0.4938202616241243,0.873015873015873,0.8518518518518519,0.8888888888888888,0.8518518518518519,0.8518518518518519
20,0.14177554230357575,0.9448773448773449,0.9238816738816739,0.9588744588744589,0.9374084919472914,0.9305959302325582,0.5254155224750913,0.8412698412698413,0.7777777777777778,0.8888888888888888,0.84,0.8076923076923077
