Epoch,Loss,Accuracy,Sensitivity,Specificity,Precision,F1,Validation Loss,Validation Accuracy,Validation Sensitivity,Validation Specificity,Validation Precision,Validation F1
1,0.44071456909990636,0.8002721088435374,0.6992481203007519,0.8490718321226796,0.6911643270024773,0.6951827242524917,0.4173952170780727,0.7936507936507936,0.8888888888888888,0.7222222222222222,0.7058823529411765,0.7868852459016393
2,0.1578099297950057,0.9412244897959183,0.9047619047619048,0.9588377723970944,0.9139240506329114,0.9093198992443325,0.6620959128652301,0.7142857142857143,0.8888888888888888,0.5833333333333334,0.6153846153846154,0.7272727272727273
3,0.0949933700309116,0.9722448979591837,0.9573934837092731,0.9794188861985472,0.9573934837092731,0.9573934837092731,0.5173062928139217,0.746031746031746,0.8148148148148148,0.6944444444444444,0.6666666666666666,0.7333333333333333
4,0.06271649828218684,0.9812244897959184,0.9707602339181286,0.9862792574656981,0.9715719063545151,0.9711659005432511,0.45676651502412463,0.8095238095238095,0.8518518518518519,0.7777777777777778,0.7419354838709677,0.7931034482758621
5,0.048398505783557484,0.9863945578231292,0.9841269841269841,0.9874899112187248,0.9743589743589743,0.9792186201163757,1.1839762509815277,0.5714285714285714,0.8518518518518519,0.3611111111111111,0.5,0.6301369863013698
6,0.03187305958688158,0.9926530612244898,0.9908103592314118,0.993543179983858,0.9866888519134775,0.9887453105460609,0.5871717033405153,0.7619047619047619,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.7619047619047619
7,0.021650497623826977,0.9940136054421769,0.9908103592314118,0.9955609362389023,0.9908103592314118,0.9908103592314118,0.81944806637272,0.7936507936507936,0.8518518518518519,0.75,0.71875,0.7796610169491526
8,0.020449467485669216,0.9945578231292517,0.9916457811194653,0.9959644874899112,0.9916457811194653,0.9916457811194653,1.225462792411683,0.6984126984126984,0.9259259259259259,0.5277777777777778,0.5952380952380952,0.7246376811594203
9,0.01619669402281114,0.9951020408163266,0.9916457811194653,0.9967715899919289,0.9933054393305439,0.9924749163879598,1.5489535596635606,0.6349206349206349,0.8518518518518519,0.4722222222222222,0.5476190476190477,0.6666666666666666
10,0.025666898452925503,0.9926530612244898,0.985797827903091,0.9959644874899112,0.9915966386554622,0.9886887306242145,1.0709153035330394,0.6507936507936508,0.8518518518518519,0.5,0.5609756097560976,0.6764705882352942
11,0.3800074319238271,0.8474747474747475,0.7784992784992785,0.8934583934583935,0.829680891964629,0.8032756374464917,0.4031532227046906,0.8095238095238095,0.8518518518518519,0.7777777777777778,0.7419354838709677,0.7931034482758621
12,0.32181328355749966,0.8717171717171717,0.8077200577200577,0.9143819143819144,0.8628131021194605,0.8343581144028321,0.4095978405740526,0.8095238095238095,0.9259259259259259,0.7222222222222222,0.7142857142857143,0.8064516129032258
13,0.2887158336287195,0.8803751803751804,0.8336940836940837,0.9114959114959115,0.862635311683464,0.847917813245276,0.3596383960001052,0.873015873015873,0.8888888888888888,0.8611111111111112,0.8275862068965517,0.8571428571428571
14,0.26067927602737667,0.8922077922077922,0.8394660894660895,0.9273689273689274,0.8851274248763789,0.8616922792075542,0.38808268308639526,0.873015873015873,0.9629629629629629,0.8055555555555556,0.7878787878787878,0.8666666666666667
15,0.23870664269033104,0.9027417027417027,0.8658008658008658,0.9273689273689274,0.8882309400444115,0.8768724881256851,0.3519212916966469,0.8412698412698413,0.8518518518518519,0.8333333333333334,0.7931034482758621,0.8214285714285714
16,0.20779904715964118,0.9176046176046176,0.8841991341991342,0.9398749398749399,0.907441688263606,0.895669651014069,0.5582268280642373,0.8253968253968254,0.9259259259259259,0.75,0.7352941176470589,0.819672131147541
17,0.18959562675368907,0.9253968253968254,0.9011544011544012,0.9415584415584416,0.9113462240058373,0.9062216578995103,0.3527894364226432,0.8888888888888888,0.9259259259259259,0.8611111111111112,0.8333333333333334,0.8771929824561403
18,0.16591574465224324,0.9327561327561328,0.9105339105339105,0.9475709475709476,0.9204959883296864,0.915487849111353,0.4953292513650561,0.8095238095238095,0.8518518518518519,0.7777777777777778,0.7419354838709677,0.7931034482758621
19,0.1360996471699139,0.9493506493506494,0.9329004329004329,0.9603174603174603,0.9400218102508179,0.9364475828354155,0.5355502986718738,0.8412698412698413,0.8888888888888888,0.8055555555555556,0.7741935483870968,0.8275862068965517
20,0.12146722456187677,0.9552669552669553,0.9386724386724387,0.9663299663299664,0.9489423778264041,0.9437794704388829,0.6052324897240079,0.8571428571428571,0.8888888888888888,0.8333333333333334,0.8,0.8421052631578947
