Epoch,Loss,Accuracy,Sensitivity,Specificity,Precision,F1,Validation Loss,Validation Accuracy,Validation Sensitivity,Validation Specificity,Validation Precision,Validation F1
1,0.30867083897801484,0.8644897959183674,0.8212197159565581,0.8853914447134786,0.7758484609313339,0.7978896103896104,0.4800706347302785,0.8253968253968254,0.8518518518518519,0.8055555555555556,0.7666666666666667,0.8070175438596491
2,0.0967643447960315,0.9695238095238096,0.9473684210526315,0.980225988700565,0.9585798816568047,0.9529411764705882,0.7265019457018564,0.7619047619047619,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.7619047619047619
3,0.051343518743405536,0.9847619047619047,0.9766081871345029,0.9887005649717514,0.9766081871345029,0.9766081871345029,0.6836306846567562,0.7619047619047619,0.8148148148148148,0.7222222222222222,0.6875,0.7457627118644068
4,0.047743987408625024,0.986938775510204,0.9774436090225563,0.9915254237288136,0.982367758186398,0.9798994974874372,0.9629864143946815,0.7301587301587301,0.8888888888888888,0.6111111111111112,0.631578947368421,0.7384615384615385
5,0.02354934039037852,0.9934693877551021,0.9891395154553049,0.9955609362389023,0.9907949790794979,0.9899665551839465,1.2768223805441743,0.6984126984126984,0.8518518518518519,0.5833333333333334,0.6052631578947368,0.7076923076923077
6,0.03257837855744929,0.9904761904761905,0.9849624060150376,0.9931396287328491,0.9857859531772575,0.985374007521939,1.4540158576435513,0.6349206349206349,1.0,0.3611111111111111,0.54,0.7012987012987013
7,0.019502090753204995,0.9945578231292517,0.9899749373433584,0.9967715899919289,0.9932942162615256,0.9916317991631799,1.3998802708727973,0.6825396825396826,0.9259259259259259,0.5,0.5813953488372093,0.7142857142857143
8,0.022549262029644683,0.9926530612244898,0.9891395154553049,0.9943502824858758,0.988313856427379,0.9887265135699373,2.3326012301776142,0.6031746031746031,0.9259259259259259,0.3611111111111111,0.5208333333333334,0.6666666666666666
9,0.009972471158419337,0.9978231292517007,0.9949874686716792,0.9991928974979822,0.9983235540653814,0.9966527196652719,1.324618469155024,0.6507936507936508,0.8888888888888888,0.4722222222222222,0.5581395348837209,0.6857142857142857
10,0.010543993364347994,0.9978231292517007,0.9958228905597326,0.9987893462469734,0.9974895397489539,0.9966555183946488,1.6129779870074892,0.6190476190476191,0.8888888888888888,0.4166666666666667,0.5333333333333333,0.6666666666666666
11,0.39609875716537796,0.8383838383838383,0.7727272727272727,0.8821548821548821,0.8138297872340425,0.7927461139896373,0.4164980245488031,0.8571428571428571,0.8888888888888888,0.8333333333333334,0.8,0.8421052631578947
12,0.3311719758471025,0.8642135642135642,0.8088023088023089,0.9011544011544012,0.8450810403317,0.8265437788018433,0.4392160371182457,0.8095238095238095,0.9259259259259259,0.7222222222222222,0.7142857142857143,0.8064516129032258
13,0.30387546022733053,0.8769119769119769,0.8232323232323232,0.9126984126984127,0.8627599243856333,0.8425327672143252,0.3940548210863083,0.8571428571428571,0.7777777777777778,0.9166666666666666,0.875,0.8235294117647058
14,0.2816860717655432,0.8848484848484849,0.834054834054834,0.9187109187109187,0.8724528301886793,0.8528218369605312,0.5315267145633698,0.8253968253968254,0.9259259259259259,0.75,0.7352941176470589,0.819672131147541
15,0.25806942025648394,0.8955266955266955,0.8546176046176046,0.9227994227994228,0.8806691449814127,0.8674478213108752,0.4124391535444865,0.8412698412698413,0.8148148148148148,0.8611111111111112,0.8148148148148148,0.8148148148148148
16,0.24368043334517644,0.9008658008658008,0.86002886002886,0.9280904280904281,0.888557584793142,0.8740604949587535,0.5294911620162782,0.8095238095238095,0.8518518518518519,0.7777777777777778,0.7419354838709677,0.7931034482758621
17,0.22215572983714582,0.908080808080808,0.8748196248196248,0.9302549302549302,0.8931860036832413,0.8839074175323491,0.5570359737390563,0.8412698412698413,0.7407407407407407,0.9166666666666666,0.8695652173913043,0.8
18,0.20285618608282585,0.9219336219336219,0.8896103896103896,0.9434824434824435,0.9129951869677897,0.9011511054266399,0.6019347388119924,0.8253968253968254,0.7777777777777778,0.8611111111111112,0.8076923076923077,0.7924528301886793
19,0.1913538506504519,0.9240981240981241,0.90007215007215,0.9401154401154401,0.9092565597667639,0.9046410442349528,0.5406965043336626,0.8095238095238095,0.8148148148148148,0.8055555555555556,0.7586206896551724,0.7857142857142857
20,0.17075397101557488,0.934054834054834,0.9116161616161617,0.949013949013949,0.9225994888645491,0.9170749410270368,0.4891073816115894,0.8253968253968254,0.8148148148148148,0.8333333333333334,0.7857142857142857,0.8
