Epoch,Loss,Accuracy,Sensitivity,Specificity,Precision,F1,Validation Loss,Validation Accuracy,Validation Sensitivity,Validation Specificity,Validation Precision,Validation F1
1,0.3748696501684838,0.8408163265306122,0.6950710108604845,0.9112187247780468,0.7908745247148289,0.7398843930635838,0.8328862639646681,0.7142857142857143,0.8888888888888888,0.5833333333333334,0.6153846153846154,0.7272727272727273
2,0.12150283742924126,0.9564625850340136,0.9256474519632414,0.9713478611783697,0.9397794741306191,0.9326599326599326,1.3016531789113606,0.7142857142857143,0.9629629629629629,0.5277777777777778,0.6046511627906976,0.7428571428571429
3,0.05175536354889675,0.9858503401360544,0.9766081871345029,0.9903147699757869,0.9798826487845766,0.9782426778242678,2.012712724625118,0.6031746031746031,0.9629629629629629,0.3333333333333333,0.52,0.6753246753246753
4,0.03203483015526922,0.990204081632653,0.9849624060150376,0.9927360774818402,0.9849624060150376,0.9849624060150376,1.2842463500916013,0.6349206349206349,0.9629629629629629,0.3888888888888889,0.5416666666666666,0.6933333333333334
5,0.032300742487898285,0.9915646258503401,0.9874686716791979,0.993543179983858,0.986644407345576,0.9870563674321503,1.5340200984288777,0.6984126984126984,0.9629629629629629,0.5,0.5909090909090909,0.7323943661971831
6,0.028751920949506137,0.9940136054421769,0.9899749373433584,0.9959644874899112,0.9916317991631799,0.9908026755852842,1.7083302963347662,0.6507936507936508,1.0,0.3888888888888889,0.5510204081632653,0.7105263157894737
7,0.01223459410614201,0.9959183673469387,0.9941520467836257,0.9967715899919289,0.993322203672788,0.9937369519832986,1.4419761224398537,0.6825396825396826,0.8518518518518519,0.5555555555555556,0.5897435897435898,0.696969696969697
8,0.01933110070870999,0.9940136054421769,0.9883040935672515,0.9967715899919289,0.9932829554995802,0.990787269681742,1.5048338560357926,0.6825396825396826,0.8888888888888888,0.5277777777777778,0.5853658536585366,0.7058823529411765
9,0.010910561769427795,0.9964625850340136,0.9924812030075187,0.9983857949959645,0.9966442953020134,0.9945583926329008,2.3064375850889416,0.6031746031746031,0.9259259259259259,0.3611111111111111,0.5208333333333334,0.6666666666666666
10,0.012029756776589368,0.9972789115646259,0.9949874686716792,0.9983857949959645,0.9966527196652719,0.995819397993311,1.8458276490370433,0.6666666666666666,1.0,0.4166666666666667,0.5625,0.72
11,0.41263035699660644,0.8303030303030303,0.7507215007215007,0.8833573833573833,0.8109898674980515,0.7796927688272761,0.4320746234485081,0.746031746031746,0.8518518518518519,0.6666666666666666,0.6571428571428571,0.7419354838709677
12,0.34783022716361894,0.8568542568542569,0.7929292929292929,0.8994708994708994,0.8402140672782875,0.8158871566443949,0.336529497707647,0.8571428571428571,0.8518518518518519,0.8611111111111112,0.8214285714285714,0.8363636363636363
13,0.31270822357241207,0.8733044733044732,0.8185425685425686,0.9098124098124099,0.8581694402420574,0.8378877400295421,0.3548401790478873,0.8095238095238095,0.8518518518518519,0.7777777777777778,0.7419354838709677,0.7931034482758621
14,0.2935065834166168,0.8805194805194805,0.8362193362193362,0.91005291005291,0.8610698365527489,0.8484626647144948,0.3192292553564859,0.873015873015873,0.8888888888888888,0.8611111111111112,0.8275862068965517,0.8571428571428571
15,0.26257226481324153,0.8927849927849928,0.8474025974025974,0.923039923039923,0.8801049082053204,0.8634442198125345,0.33687505078694174,0.8412698412698413,0.9259259259259259,0.7777777777777778,0.7575757575757576,0.8333333333333334
16,0.2433639710664233,0.9033189033189033,0.8701298701298701,0.9254449254449254,0.8861131520940485,0.8780487804878049,0.4167680782931192,0.8571428571428571,0.8888888888888888,0.8333333333333334,0.8,0.8421052631578947
17,0.22010558283905274,0.90995670995671,0.8798701298701299,0.93001443001443,0.8934065934065935,0.8865866957470011,0.4652345521109445,0.8412698412698413,0.8888888888888888,0.8055555555555556,0.7741935483870968,0.8275862068965517
18,0.20187381731203796,0.9212121212121213,0.8921356421356421,0.9405964405964405,0.9091911764705882,0.9005826656955572,0.35681583717583665,0.873015873015873,0.7777777777777778,0.9444444444444444,0.9130434782608695,0.84
19,0.17057756151450318,0.9292929292929293,0.9051226551226551,0.9454064454064454,0.91703216374269,0.911038489469862,0.5047232445979876,0.8095238095238095,0.8518518518518519,0.7777777777777778,0.7419354838709677,0.7931034482758621
20,0.1511156621014143,0.9395382395382396,0.9227994227994228,0.9506974506974507,0.925805284111473,0.9242999096657634,0.44734358326310203,0.8571428571428571,0.8888888888888888,0.8333333333333334,0.8,0.8421052631578947
