Epoch,Loss,Accuracy,Sensitivity,Specificity,Precision,F1,Validation Loss,Validation Accuracy,Validation Sensitivity,Validation Specificity,Validation Precision,Validation F1
1,0.5223947200158826,0.7393197278911564,0.5229741019214703,0.8438256658595642,0.6179664363277394,0.5665158371040724,0.4160529966392214,0.7619047619047619,0.7407407407407407,0.7777777777777778,0.7142857142857143,0.7272727272727273
2,0.34859777311078544,0.8517006802721089,0.7368421052631579,0.9071832122679581,0.7931654676258992,0.7639670853183196,0.41975520586683635,0.7936507936507936,0.6296296296296297,0.9166666666666666,0.85,0.723404255319149
3,0.2824342850073665,0.8848979591836734,0.8045112781954887,0.923728813559322,0.8359375,0.8199233716475096,0.455723135776463,0.7619047619047619,0.48148148148148145,0.9722222222222222,0.9285714285714286,0.6341463414634146
4,0.22331958042115582,0.9126530612244897,0.8529657477025898,0.9414850686037127,0.8756432246998285,0.8641557342361404,0.4486549413275151,0.8095238095238095,0.7037037037037037,0.8888888888888888,0.8260869565217391,0.76
5,0.18817989108995312,0.9268027210884354,0.8788638262322472,0.9499596448748991,0.8945578231292517,0.8866413822166035,0.42485628336194964,0.8412698412698413,0.7407407407407407,0.9166666666666666,0.8695652173913043,0.8
6,0.1535533555896104,0.9431292517006803,0.9064327485380117,0.9608555286521389,0.9179357021996616,0.9121479613282892,0.5671889964964182,0.8095238095238095,0.7777777777777778,0.8333333333333334,0.7777777777777778,0.7777777777777778
7,0.12443396323594917,0.9556462585034013,0.9264828738512949,0.9697336561743342,0.9366554054054054,0.9315413691726165,0.4973302073776722,0.746031746031746,0.7037037037037037,0.7777777777777778,0.7037037037037037,0.7037037037037037
8,0.10396680620758712,0.9605442176870749,0.9390142021720969,0.9709443099273608,0.939799331103679,0.9394066025908901,0.5017684365193995,0.8412698412698413,0.8518518518518519,0.8333333333333334,0.7931034482758621,0.8214285714285714
9,0.08251226714983279,0.9717006802721089,0.9540517961570593,0.980225988700565,0.9588581024349286,0.9564489112227805,0.6223192505653031,0.8571428571428571,0.7777777777777778,0.9166666666666666,0.875,0.8235294117647058
10,0.06642476314032564,0.9768707482993197,0.9640768588137009,0.9830508474576272,0.9648829431438127,0.9644797325532805,0.628657515072042,0.7936507936507936,0.8518518518518519,0.75,0.71875,0.7796610169491526
11,0.4143715738798633,0.8274170274170274,0.7362914862914863,0.8881673881673882,0.8144453312051078,0.7733990147783252,0.35671839780277675,0.8253968253968254,0.7777777777777778,0.8611111111111112,0.8076923076923077,0.7924528301886793
12,0.37891049695135365,0.8411255411255412,0.7640692640692641,0.8924963924963925,0.8257309941520468,0.7937043282743114,0.3862762131861278,0.8253968253968254,0.7777777777777778,0.8611111111111112,0.8076923076923077,0.7924528301886793
13,0.3662649911547464,0.848917748917749,0.7806637806637806,0.8944203944203944,0.8313484441029582,0.8052093023255814,0.3605590644809935,0.8571428571428571,0.7407407407407407,0.9444444444444444,0.9090909090909091,0.8163265306122449
14,0.34661762867913104,0.8567099567099568,0.7954545454545454,0.8975468975468975,0.8380843785632839,0.8162132148806219,0.3389330716833236,0.873015873015873,0.8148148148148148,0.9166666666666666,0.88,0.8461538461538461
15,0.33546351457571055,0.8601731601731601,0.7965367965367965,0.9025974025974026,0.8450057405281286,0.8200557103064067,0.3140400293327513,0.8571428571428571,0.7407407407407407,0.9444444444444444,0.9090909090909091,0.8163265306122449
16,0.3229884483683505,0.8659451659451659,0.8041125541125541,0.9071669071669072,0.8523900573613766,0.827547800259885,0.4267065052002195,0.8571428571428571,0.7037037037037037,0.9722222222222222,0.95,0.8085106382978723
17,0.31551692176604856,0.8728715728715729,0.8192640692640693,0.9086099086099086,0.8566578649566201,0.837543794947446,0.6358547735781896,0.6825396825396826,0.5925925925925926,0.75,0.64,0.6153846153846154
18,0.3089404581687151,0.8718614718614719,0.8196248196248196,0.9066859066859067,0.8541353383458646,0.8365243004418262,0.32904788343206287,0.873015873015873,0.8148148148148148,0.9166666666666666,0.88,0.8461538461538461
19,0.29712395327001767,0.8793650793650793,0.8308080808080808,0.9117364117364117,0.8625468164794008,0.8463800073502389,0.351084308610076,0.8571428571428571,0.8518518518518519,0.8611111111111112,0.8214285714285714,0.8363636363636363
20,0.28450365169094755,0.8825396825396825,0.8365800865800865,0.9131794131794132,0.8652985074626866,0.8506969919295672,0.3291277489255345,0.8412698412698413,0.8148148148148148,0.8611111111111112,0.8148148148148148,0.8148148148148148
