Epoch,Loss,Accuracy,Sensitivity,Specificity,Precision,F1,Validation Loss,Validation Accuracy,Validation Sensitivity,Validation Specificity,Validation Precision,Validation F1
1,0.14075850543420332,0.9458503401360544,0.898078529657477,0.9689265536723164,0.9331597222222222,0.9152830991911451,0.7791978611596047,0.6984126984126984,0.9259259259259259,0.5277777777777778,0.5952380952380952,0.7246376811594203
2,0.028819602780878785,0.992108843537415,0.9866332497911445,0.9947538337368845,0.9891122278056952,0.9878711836051861,1.5657683346006606,0.6190476190476191,0.9629629629629629,0.3611111111111111,0.5306122448979592,0.6842105263157895
3,0.030401047066322903,0.9910204081632653,0.9874686716791979,0.9927360774818402,0.985,0.986232790988736,1.2214788908050174,0.6666666666666666,0.9629629629629629,0.4444444444444444,0.5652173913043478,0.7123287671232876
4,0.013306338736568862,0.9975510204081632,0.9949874686716792,0.9987893462469734,0.9974874371859297,0.9962358845671268,1.1125274336054212,0.7301587301587301,0.9629629629629629,0.5555555555555556,0.6190476190476191,0.7536231884057971
5,0.011999390984910737,0.9970068027210884,0.9958228905597326,0.9975786924939467,0.994991652754591,0.9954070981210856,1.5532620009921847,0.6666666666666666,1.0,0.4166666666666667,0.5625,0.72
6,0.007092289173893225,0.9989115646258503,0.9974937343358395,0.9995964487489911,0.999163179916318,0.9983277591973244,1.4360210990740194,0.6984126984126984,0.9629629629629629,0.5,0.5909090909090909,0.7323943661971831
7,0.0010356382363583562,1.0,1.0,1.0,1.0,1.0,1.9332729138079143,0.6984126984126984,0.9629629629629629,0.5,0.5909090909090909,0.7323943661971831
8,0.02081709695159502,0.9948299319727891,0.9908103592314118,0.9967715899919289,0.9932998324958124,0.9920535340861564,1.6251677785600935,0.5873015873015873,0.9629629629629629,0.3055555555555556,0.5098039215686274,0.6666666666666666
9,0.015171125550947602,0.9948299319727891,0.9908103592314118,0.9967715899919289,0.9932998324958124,0.9920535340861564,1.0170862050283522,0.7777777777777778,0.9629629629629629,0.6388888888888888,0.6666666666666666,0.7878787878787878
10,0.005135479581793358,0.9989115646258503,0.9983291562238931,0.9991928974979822,0.9983291562238931,0.9983291562238931,1.9321634048034275,0.6666666666666666,0.9629629629629629,0.4444444444444444,0.5652173913043478,0.7123287671232876
11,0.3822491047766818,0.8414141414141414,0.7716450216450217,0.8879268879268879,0.8211132437619961,0.7956109354658731,0.3962111007126551,0.8253968253968254,0.9259259259259259,0.75,0.7352941176470589,0.819672131147541
12,0.30554805302301696,0.8753246753246753,0.8145743145743146,0.9158249158249159,0.86579754601227,0.8394052044609666,0.3498890757087677,0.8412698412698413,0.9259259259259259,0.7777777777777778,0.7575757575757576,0.8333333333333334
13,0.25354200029613994,0.895959595959596,0.8463203463203464,0.929052429052429,0.8882998864066641,0.8668021429891003,0.40523661862290095,0.8095238095238095,0.8888888888888888,0.75,0.7272727272727273,0.8
14,0.20285298498172694,0.921067821067821,0.8841991341991342,0.9456469456469456,0.9155771385879716,0.8996146081849881,0.391450197214172,0.8412698412698413,0.9259259259259259,0.7777777777777778,0.7575757575757576,0.8333333333333334
15,0.15283470770121052,0.9417027417027417,0.9134199134199135,0.9605579605579606,0.9391691394658753,0.9261155815654718,0.3733086765758575,0.8571428571428571,0.8518518518518519,0.8611111111111112,0.8214285714285714,0.8363636363636363
16,0.11107959934546575,0.9603174603174603,0.9415584415584416,0.9728234728234728,0.9585016525890562,0.9499545040946314,0.638301290808216,0.746031746031746,0.9259259259259259,0.6111111111111112,0.6410256410256411,0.7575757575757576
17,0.08731273121562011,0.9689754689754689,0.9552669552669553,0.9781144781144782,0.9667761956918584,0.9609871166757394,0.34627032321360374,0.8888888888888888,0.9259259259259259,0.8611111111111112,0.8333333333333334,0.8771929824561403
18,0.06610570737180228,0.9759018759018759,0.9675324675324676,0.9814814814814815,0.9720913374411019,0.9698065449285843,0.4096876270477734,0.8888888888888888,0.9259259259259259,0.8611111111111112,0.8333333333333334,0.8771929824561403
19,0.05644635340288916,0.9803751803751803,0.9725829725829725,0.9855699855699855,0.9782293178519593,0.975397973950796,0.4427520477819064,0.8888888888888888,0.8148148148148148,0.9444444444444444,0.9166666666666666,0.8627450980392157
20,0.047412139146614275,0.9844155844155844,0.9790764790764791,0.987974987974988,0.9819102749638206,0.9804913294797688,0.8063592141686332,0.7777777777777778,0.8888888888888888,0.6944444444444444,0.6857142857142857,0.7741935483870968
