Epoch,Loss,Accuracy,Sensitivity,Specificity,Precision,F1,Validation Loss,Validation Accuracy,Validation Sensitivity,Validation Specificity,Validation Precision,Validation F1
1,0.18118811352317837,0.9240816326530612,0.9055973266499582,0.9330104923325262,0.8672,0.8859828361258684,1.08114646067695,0.5079365079365079,0.7777777777777778,0.3055555555555556,0.45652173913043476,0.5753424657534246
2,0.037132519285010844,0.9882993197278912,0.9832915622389307,0.9907183212267958,0.9808333333333333,0.982060909470171,0.40026886271874584,0.9047619047619048,0.9629629629629629,0.8611111111111112,0.8387096774193549,0.896551724137931
3,0.02001381261657518,0.9942857142857143,0.9891395154553049,0.9967715899919289,0.9932885906040269,0.9912097111762244,1.295156725992759,0.7142857142857143,0.9629629629629629,0.5277777777777778,0.6046511627906976,0.7428571428571429
4,0.020733449471849935,0.9953741496598639,0.9924812030075187,0.9967715899919289,0.9933110367892977,0.992895946510656,1.7030655900164255,0.6825396825396826,0.9629629629629629,0.4722222222222222,0.5777777777777777,0.7222222222222222
5,0.01603164871235942,0.9956462585034014,0.9941520467836257,0.9963680387409201,0.9924937447873228,0.993322203672788,0.5203751237205569,0.8571428571428571,0.7777777777777778,0.9166666666666666,0.875,0.8235294117647058
6,0.021081665651872753,0.9948299319727891,0.9908103592314118,0.9967715899919289,0.9932998324958124,0.9920535340861564,1.5813652475674946,0.6349206349206349,0.9629629629629629,0.3888888888888889,0.5416666666666666,0.6933333333333334
7,0.013555880615461561,0.9961904761904762,0.9941520467836257,0.9971751412429378,0.9941520467836257,0.9941520467836257,1.4781487610131976,0.6825396825396826,0.9629629629629629,0.4722222222222222,0.5777777777777777,0.7222222222222222
8,0.006093856400408668,0.9980952380952381,0.9974937343358395,0.9983857949959645,0.996661101836394,0.9970772442588727,1.6121917120994083,0.6349206349206349,0.9259259259259259,0.4166666666666667,0.5434782608695652,0.684931506849315
9,0.01004613486300959,0.9964625850340136,0.9941520467836257,0.9975786924939467,0.9949832775919732,0.9945674885081488,1.9020149386118328,0.6666666666666666,0.9629629629629629,0.4444444444444444,0.5652173913043478,0.7123287671232876
10,0.0023713983726675056,0.9997278911564625,0.9991645781119465,1.0,1.0,0.9995821145006268,2.0623113446765475,0.6666666666666666,0.9629629629629629,0.4444444444444444,0.5652173913043478,0.7123287671232876
11,0.3861863978970446,0.834920634920635,0.7799422799422799,0.8715728715728716,0.8019287833827893,0.7907827359180688,0.32760623286640833,0.8412698412698413,0.8888888888888888,0.8055555555555556,0.7741935483870968,0.8275862068965517
12,0.30028347585667436,0.8800865800865801,0.8275613275613276,0.9151034151034151,0.8666414809217983,0.8466506735560066,0.39696466071265085,0.8571428571428571,0.9629629629629629,0.7777777777777778,0.7647058823529411,0.8524590163934426
13,0.266794411948792,0.8897546897546897,0.84992784992785,0.9163059163059163,0.871301775147929,0.860482103725347,0.325115662008997,0.8412698412698413,0.8888888888888888,0.8055555555555556,0.7741935483870968,0.8275862068965517
14,0.223848808950289,0.9093795093795094,0.8726551226551227,0.9338624338624338,0.8979213066072754,0.885107939992682,0.43712273003563046,0.8253968253968254,0.9259259259259259,0.75,0.7352941176470589,0.819672131147541
15,0.1832684688442111,0.9271284271284271,0.9018759018759018,0.943963443963444,0.9147457006952068,0.9082652134423251,0.39972966223482104,0.8571428571428571,0.8888888888888888,0.8333333333333334,0.8,0.8421052631578947
16,0.15604315975205207,0.937950937950938,0.9191919191919192,0.9504569504569504,0.925199709513435,0.9221860296778863,0.3740448077164945,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8571428571428571,0.8727272727272727
17,0.12422203681314792,0.9522366522366522,0.9357864357864358,0.9632034632034632,0.9443028758645795,0.9400253669142961,0.30690212961700225,0.873015873015873,0.8888888888888888,0.8611111111111112,0.8275862068965517,0.8571428571428571
18,0.08832109549551836,0.9678210678210678,0.9613997113997114,0.9721019721019721,0.9582883854728514,0.9598415271024672,0.6663102278751987,0.8095238095238095,0.9259259259259259,0.7222222222222222,0.7142857142857143,0.8064516129032258
19,0.0788493335390837,0.9707070707070707,0.9635642135642135,0.9754689754689755,0.9632167327803822,0.9633904418394951,0.4050994463974521,0.8412698412698413,0.8518518518518519,0.8333333333333334,0.7931034482758621,0.8214285714285714
20,0.06699337852315125,0.9761904761904762,0.9696969696969697,0.9805194805194806,0.9707475622968581,0.9702219815917704,0.4033557656147177,0.873015873015873,0.8888888888888888,0.8611111111111112,0.8275862068965517,0.8571428571428571
