Epoch,Loss,Accuracy,Sensitivity,Specificity,Precision,F1,Validation Loss,Validation Accuracy,Validation Sensitivity,Validation Specificity,Validation Precision,Validation F1
1,0.4485535335054203,0.7831292517006803,0.48120300751879697,0.9289749798224375,0.7659574468085106,0.5910723447922012,0.7155677553207155,0.5714285714285714,0.9629629629629629,0.2777777777777778,0.5,0.6582278481012658
2,0.18841121819960016,0.9306122448979591,0.885547201336675,0.9523809523809523,0.8998302207130731,0.8926315789473684,0.7582803264496818,0.6984126984126984,0.9259259259259259,0.5277777777777778,0.5952380952380952,0.7246376811594203
3,0.12528802015748966,0.9635374149659864,0.9306599832915622,0.9794188861985472,0.9562231759656652,0.9432684165961049,0.6789832181400723,0.7301587301587301,0.9629629629629629,0.5555555555555556,0.6190476190476191,0.7536231884057971
4,0.0869562616642742,0.974421768707483,0.9540517961570593,0.9842615012106537,0.9669771380186283,0.960470984020185,1.0926925549431452,0.5873015873015873,0.9259259259259259,0.3333333333333333,0.5102040816326531,0.6578947368421053
5,0.05869934632892714,0.9825850340136054,0.9732664995822891,0.9870863599677159,0.9732664995822891,0.9732664995822891,1.0036309124931457,0.6984126984126984,0.9259259259259259,0.5277777777777778,0.5952380952380952,0.7246376811594203
6,0.03525775806230753,0.9918367346938776,0.9849624060150376,0.9951573849878934,0.9899244332493703,0.9874371859296482,1.7625076373418171,0.5238095238095238,0.9259259259259259,0.2222222222222222,0.4716981132075472,0.625
7,0.041470731292046654,0.9893877551020408,0.9824561403508771,0.9927360774818402,0.9849246231155779,0.9836888331242158,1.1425190738269262,0.6825396825396826,0.9259259259259259,0.5,0.5813953488372093,0.7142857142857143
8,0.03280826870732161,0.9912925170068028,0.9874686716791979,0.9931396287328491,0.9858215179316097,0.986644407345576,1.638800543452066,0.5873015873015873,0.9629629629629629,0.3055555555555556,0.5098039215686274,0.6666666666666666
9,0.02066183480228215,0.9951020408163266,0.9924812030075187,0.9963680387409201,0.9924812030075187,0.9924812030075187,0.9911035602054898,0.7619047619047619,0.9259259259259259,0.6388888888888888,0.6578947368421053,0.7692307692307693
10,0.02691564523960229,0.9929251700680272,0.9891395154553049,0.9947538337368845,0.9891395154553049,0.9891395154553049,1.2285388235061887,0.6666666666666666,0.9629629629629629,0.4444444444444444,0.5652173913043478,0.7123287671232876
11,0.42223662875732476,0.82005772005772,0.7406204906204906,0.873015873015873,0.795428128632313,0.767046515972352,0.3253651327557034,0.873015873015873,0.8888888888888888,0.8611111111111112,0.8275862068965517,0.8571428571428571
12,0.3576328677704496,0.8502164502164502,0.7821067821067821,0.8956228956228957,0.8332052267486548,0.8068477856345366,0.3231805312255072,0.873015873015873,0.8888888888888888,0.8611111111111112,0.8275862068965517,0.8571428571428571
13,0.3348226529867274,0.8607503607503607,0.7929292929292929,0.905964405964406,0.8489764387794515,0.8199962693527327,0.33070452724184307,0.8571428571428571,0.8888888888888888,0.8333333333333334,0.8,0.8421052631578947
14,0.311420412694909,0.8746031746031746,0.8084415584415584,0.9187109187109187,0.8689414501744862,0.8376004485142964,0.3408450654574803,0.8412698412698413,0.8518518518518519,0.8333333333333334,0.7931034482758621,0.8214285714285714
15,0.2857804312678471,0.8818181818181818,0.8297258297258298,0.9165464165464166,0.8689081979599547,0.8488651042627791,0.39289963245391846,0.8095238095238095,0.9259259259259259,0.7222222222222222,0.7142857142857143,0.8064516129032258
16,0.26039350686264245,0.8976911976911977,0.8484848484848485,0.9304954304954305,0.8905717531238168,0.8690190282652873,0.3270045130971878,0.8412698412698413,0.8888888888888888,0.8055555555555556,0.7741935483870968,0.8275862068965517
17,0.23398206570490787,0.9076479076479076,0.8701298701298701,0.9326599326599326,0.8959881129271917,0.8828696925329429,0.3721409553573245,0.8412698412698413,0.9259259259259259,0.7777777777777778,0.7575757575757576,0.8333333333333334
18,0.2042748458307199,0.9206349206349206,0.8885281385281385,0.942039442039442,0.9108727810650887,0.8995617238860482,0.3319876693366539,0.873015873015873,0.8888888888888888,0.8611111111111112,0.8275862068965517,0.8571428571428571
19,0.18623427648371432,0.9255411255411256,0.8979076479076479,0.943963443963444,0.914401175606172,0.9060793593010557,0.38801901586472043,0.8571428571428571,0.9259259259259259,0.8055555555555556,0.78125,0.847457627118644
20,0.16247202103089375,0.9405483405483406,0.9188311688311688,0.955026455026455,0.9316020482809071,0.925172539048311,0.3789713020835604,0.8571428571428571,0.8888888888888888,0.8333333333333334,0.8,0.8421052631578947
