Epoch,Loss,Accuracy,Sensitivity,Specificity,Precision,F1,Validation Loss,Validation Accuracy,Validation Sensitivity,Validation Specificity,Validation Precision,Validation F1
1,0.24274627026956097,0.8963265306122449,0.8195488721804511,0.9334140435835351,0.856020942408377,0.8373879641485276,1.1832134629052782,0.6507936507936508,0.9629629629629629,0.4166666666666667,0.5531914893617021,0.7027027027027027
2,0.06096062499294881,0.977687074829932,0.9674185463659147,0.9826472962066183,0.9641965029142381,0.9658048373644704,1.521903085330176,0.6190476190476191,0.9259259259259259,0.3888888888888889,0.5319148936170213,0.6756756756756757
3,0.03333009731189227,0.9918367346938776,0.9874686716791979,0.9939467312348669,0.9874686716791979,0.9874686716791979,2.163450101065257,0.6031746031746031,1.0,0.3055555555555556,0.5192307692307693,0.6835443037974683
4,0.025079998504726825,0.9931972789115646,0.9874686716791979,0.9959644874899112,0.9916107382550335,0.9895353704478862,1.6702208859579903,0.6825396825396826,0.9629629629629629,0.4722222222222222,0.5777777777777777,0.7222222222222222
5,0.021319635011901965,0.9923809523809524,0.9874686716791979,0.9947538337368845,0.9891213389121339,0.9882943143812709,1.8479146541111053,0.6349206349206349,0.9259259259259259,0.4166666666666667,0.5434782608695652,0.684931506849315
6,0.017350692615731855,0.9959183673469387,0.9933166248955723,0.9971751412429378,0.9941471571906354,0.9937317175094025,2.1137047438394454,0.6031746031746031,0.9629629629629629,0.3333333333333333,0.52,0.6753246753246753
7,0.010485321468464573,0.9970068027210884,0.9958228905597326,0.9975786924939467,0.994991652754591,0.9954070981210856,1.3631572344946483,0.6825396825396826,0.9629629629629629,0.4722222222222222,0.5777777777777777,0.7222222222222222
8,0.005424549995927888,0.9989115646258503,0.9983291562238931,0.9991928974979822,0.9983291562238931,0.9983291562238931,2.281789571519882,0.5873015873015873,1.0,0.2777777777777778,0.5094339622641509,0.675
9,0.01667194011016134,0.9948299319727891,0.9924812030075187,0.9959644874899112,0.991652754590985,0.9920668058455114,1.8415972221465338,0.5714285714285714,1.0,0.25,0.5,0.6666666666666666
10,0.020588593774991504,0.9945578231292517,0.9941520467836257,0.9947538337368845,0.9891936824605154,0.9916666666666667,1.8886697159873114,0.5873015873015873,0.9629629629629629,0.3055555555555556,0.5098039215686274,0.6666666666666666
11,0.4241267693507207,0.8189033189033189,0.7481962481962482,0.8660413660413661,0.7882934245534018,0.767721636128077,0.28031708643076914,0.9047619047619048,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8888888888888888
12,0.34574655189486636,0.8539682539682539,0.7907647907647908,0.8961038961038961,0.8353658536585366,0.8124536693847294,0.2893405069434454,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8571428571428571,0.8727272727272727
13,0.2983639927868547,0.8759018759018758,0.8163780663780664,0.9155844155844156,0.8657230298393267,0.8403267731154845,0.33241786618554403,0.8571428571428571,0.8888888888888888,0.8333333333333334,0.8,0.8421052631578947
14,0.26541795016388703,0.8900432900432901,0.8293650793650794,0.9304954304954305,0.8883307573415765,0.8578358208955223,0.303573725005937,0.873015873015873,0.9259259259259259,0.8333333333333334,0.8064516129032258,0.8620689655172413
15,0.22633386280543533,0.906060606060606,0.8585858585858586,0.9377104377104377,0.9018567639257294,0.8796895213454075,0.4349947590676565,0.873015873015873,0.8518518518518519,0.8888888888888888,0.8518518518518519,0.8518518518518519
16,0.19428399796738768,0.9245310245310245,0.8834776334776335,0.9518999518999519,0.9244998112495281,0.9035233351780114,0.48744601224149975,0.8095238095238095,0.8888888888888888,0.75,0.7272727272727273,0.8
17,0.16948870516464135,0.9331890331890332,0.9065656565656566,0.950937950937951,0.9249171880750828,0.9156494807797413,0.5584878981823013,0.8253968253968254,0.8888888888888888,0.7777777777777778,0.75,0.8135593220338984
18,0.14410960129683925,0.9412698412698413,0.9148629148629148,0.9588744588744589,0.9368304396010344,0.925716371600657,0.5061824965098548,0.8571428571428571,0.8148148148148148,0.8888888888888888,0.8461538461538461,0.8301886792452831
19,0.12733683687450653,0.9503607503607504,0.9292929292929293,0.9644059644059644,0.9456681350954479,0.9374090247452693,0.7246499635160916,0.8095238095238095,0.8888888888888888,0.75,0.7272727272727273,0.8
20,0.11277811914994174,0.9572871572871573,0.9437229437229437,0.9663299663299664,0.9492017416545718,0.9464544138929089,0.5030138885809315,0.8412698412698413,0.8888888888888888,0.8055555555555556,0.7741935483870968,0.8275862068965517
